Name,Number,Education
Parisa Tabriz,0,Google Director of Engineering also known as the Security Princess
Roberto Tamassia,0,computational geometry computer security
Andrew S. Tanenbaum,0,operating systems MINIX
Austin Tate,1,Artificial Intelligence Applications AI Planning Virtual Worlds
Bernhard Thalheim,1,conceptual modelling foundation
Éva Tardos,5,[]
Gábor Tardos,4,[]
Robert Tarjan,3,splay tree
Valerie Taylor,5,[]
Mario Tchou,0,Italian engineer of Chinese descent leader of Olivetti Elea project
Jaime Teevan,3,[]
Shang-Hua Teng,1,analysis of algorithms
Larry Tesler,0,human–computer interaction graphical user interface Apple Macintosh
Avie Tevanian,0,Mach kernel team NeXT Mac OS X
Charles P. Thacker,3,Xerox Alto Microsoft Research
Daniel Thalmann,4,computer graphics virtual actor
Ken Thompson,9,Unix
Sebastian Thrun,3,AI researcher pioneered autonomous driving
Walter F. Tichy,0,RCS
Seinosuke Toda,0,computation complexity recipient of 1998 Gödel Prize
Linus Torvalds,0,Linux kernel Git
Leonardo Torres Quevedo,8,invented El Ajedrecista (the chess player) in 1912  a true automaton built to play chess without human guidance. In his work Essays on Automatics (1913) introduced the idea of floating-point arithmetic. In 1920 built an early electromechanical device of the Analytical Engine.
Godfried Toussaint,0,computational geometry computational music theory
Gloria Townsend,1,[]
Edwin E. Tozer,0,business information systems
Joseph F Traub,0,computational complexity of scientific problems
John V. Tucker,0,computability theory
John Tukey,7,founder of FFT algorithm box plot exploratory data analysis and Coining the term 'bit'
Alan Turing,1,British computing pioneer Turing machine algorithms cryptology computer architecture
David Turner,0,SASL Kent Recursive Calculator Miranda IFIP WG 2.1 member
Murray Turoff,1,computer-mediated communication
Jeffrey D. Ullman,4,compilers databases complexity theory
Leslie Valiant,6,computational complexity theory computational learning theory
Vladimir Vapnik,11,pattern recognition computational learning theory
Moshe Vardi,7,professor of computer science at Rice University
Dorothy Vaughan,0,[]
Bernard Vauquois,0,pioneered computer science in France machine translation (MT) theory and practice including Vauquois triangle ALGOL 60
Umesh Vazirani,1,[]
Manuela M. Veloso,3,[]
François Vernadat,0,enterprise modeling
Richard Veryard,0,enterprise modeling
Sergiy Vilkomir,1,software testing RC/DC
Paul Vitanyi,0,Kolmogorov complexity Information distance Normalized compression distance Normalized Google distance
Andrew Viterbi,8,Viterbi algorithm
Jeffrey Scott Vitter,0,external memory algorithms compressed data structures data compression databases
Paul Vixie,0,DNS BIND PAIX Internet Software Consortium MAPS DNSBL
Eiiti Wada,0,ALGOL N IFIP WG 2.1 member Japanese Industrial Standards (JIS) X 0208 0212 Happy Hacking Keyboard
David Wagner,0,security cryptography
David Waltz,2,[]
James Z. Wang,0,[]
Steve Ward,0,[]
Manfred K. Warmuth,1,computational learning theory
David H. D. Warren,0,AI logic programming Prolog Warren Abstract Machine (WAM)
Kevin Warwick,4,artificial intelligence
Jan Weglarz,0,[]
Philip Wadler,4,functional programming Haskell Monad Java logic
Peter Wegner,2,object-oriented programming interaction (computer science)
Joseph Henry Wegstein,0,ALGOL 58 ALGOL 60 IFIP WG 2.1 member data processing technical standards fingerprint analysis
Peter J. Weinberger,0,programming language design the 'w' in AWK
Mark Weiser,0,ubiquitous computing
Joseph Weizenbaum,0,artificial intelligence ELIZA
David Wheeler,3,EDSAC subroutines
Franklin H. Westervelt,0,use of computers in engineering education conversational use of computers Michigan Terminal System (MTS) ARPANET distance learning
Steve Whittaker,3,human computer interaction computer support for cooperative work social media
Jennifer Widom,6,nontraditional data management
Gio Wiederhold,3,database management systems
Norbert Wiener,2,Cybernetics
Adriaan van Wijngaarden,1,Dutch pioneer; ARRA ALGOL IFIP WG 2.1 member
Mary Allen Wilkes,0,LINC developer assembler-linker designer
Maurice Vincent Wilkes,5,microprogramming EDSAC
Yorick Wilks,1,computational linguistics artificial intelligence
James H. Wilkinson,3,numerical analysis
Sophie Wilson,6,ARM architecture
Shmuel Winograd,0,Coppersmith–Winograd algorithm
Terry Winograd,1,artificial intelligence SHRDLU
Patrick Winston,1,artificial intelligence
Niklaus Wirth,5,ALGOL W IFIP WG 2.1 member Pascal Modula Oberon
Neil Wiseman,0,computer graphics
Dennis E. Wisnosky,0,Integrated Computer-Aided Manufacturing (ICAM) IDEF
Stephen Wolfram,1,Mathematica
Mike Woodger,0,Pilot ACE ALGOL 60 Ada (programming language)
Philip Woodward,3,ambiguity function sinc function comb operator rep operator ALGOL 68-R
Beatrice Helen Worsley,0,wrote the first PhD dissertation involving modern computers; was one of the people who wrote Transcode
Steve Wozniak,0,engineered first generation personal computers at Apple Computer
Jie Wu,0,computer networks
William Wulf,0,BLISS system programming language + optimizing compiler Hydra operating system Tartan Laboratories
Mihalis Yannakakis,1,[]
Andrew Chi-Chih Yao,4,[]
John Yen,2,[]
Nobuo Yoneda,0,Yoneda lemma Yoneda product ALGOL IFIP WG 2.1 member
Edward Yourdon,1,Structured Systems Analysis and Design Method
Moti Yung,6,[]
Lotfi Zadeh,12,fuzzy logic
Hans Zantema,0,termination analysis
Arif Zaman,0,pseudo-random number generator
Stanley Zdonik,0,database management systems
Hussein Zedan,0,formal methods and real-time systems
Shlomo Zilberstein,0,artificial intelligence anytime algorithms automated planning and decentralized POMDPs
Jill Zimmerman,0,James M. Beall Professor of Mathematics and Computer Science at Goucher College
Konrad Zuse,5,German pioneer of hardware and software
