Name,Number,Education
Michael Dertouzos,0,Director of Massachusetts Institute of Technology (MIT) Laboratory for Computer Science (LCS) from 1974 to 2001
Alexander Dewdney,0,[]
Robert Dewar,0,IFIP WG 2.1 member ALGOL 68 chairperson; AdaCore cofounder president CEO
Vinod Dham,0,P5 Pentium processor
Jan Dietz,0,information systems theory and Design & Engineering Methodology for Organizations
Whitfield Diffie,6,public key cryptography Diffie–Hellman key exchange
Edsger W. Dijkstra,5,algorithms Dijkstra's algorithm Go To Statement Considered Harmful semaphore (programming) IFIP WG 2.1 member
Matthew Dillon,0,DragonFly BSD with LWKT vkernel OS-level virtualisation file systems: HAMMER1 HAMMER2
Alan Dix,0,wrote important university level textbook on human–computer interaction
Jack Dongarra,15,linear algebra high performance computing (HCI)
Marco Dorigo,0,ant colony optimization
Paul Dourish,0,human computer interaction
Charles Stark Draper,6,"designer of Apollo Guidance Computer ""father of inertial navigation"" MIT professor"
Susan Dumais,1,information retrieval
Adam Dunkels,0,Contiki lwIP uIP protothreads
Jon Michael Dunn,11,founding dean of Indiana University School of Informatics information based logics especially relevance logic
Schahram Dustdar,0,Distributed Systems TU Wien Austria
Peter Eades,0,graph drawing
Annie Easley,0,[]
Wim Ebbinkhuijsen,0,COBOL
John Presper Eckert,4,ENIAC
Alan Edelman,7,Edelman's Law stochastic operator Interactive Supercomputing Julia (programming language) cocreator high performance computing numerical computing
Brendan Eich,0,JavaScript Mozilla
Philip Emeagwali,0,supercomputing
E. Allen Emerson,2,model checking
Douglas Engelbart,7,tiled windows hypertext computer mouse
Barbara Engelhardt,1,latent variable models genomics quantitative trait locus (QTL)
David Eppstein,0,[]
Andrey Ershov,0,languages ALPHA Rapira; first Soviet time-sharing system AIST-0 electronic publishing system RUBIN multiprocessing workstation MRAMOR IFIP WG 2.1 member Aesthetics and the Human Factor in Programming
Don Estridge,0,"led development of original IBM Personal Computer (PC); known as ""father of the IBM PC"""
Oren Etzioni,1,MetaCrawler Netbot
Christopher Riche Evans,0,[]
David C. Evans,1,computer graphics
Shimon Even,0,[]
Scott Fahlman,1,[]
Edward Feigenbaum,4,intelligence
Edward Felten,1,computer security
Tim Finin,1,[]
Raphael Finkel,0,[]
Donald Firesmith,0,[]
Gary William Flake,0,[]
Tommy Flowers,0,Colossus computer
Robert Floyd,2,NP-completeness
Sally Floyd,1,Internet congestion control
Lawrence J. Fogel,0,evolutionary programming
James D. Foley,1,[]
Ken Forbus,0,[]
"L. R. Ford, Jr.",0,[]
Lance Fortnow,1,[]
Mahmoud Samir Fayed,0,PWCT Ring
Martin Fowler,0,[]
Robert France,1,[]
Herbert W. Franke,0,[]
Edward Fredkin,1,[]
Yoav Freund,1,[]
Daniel P. Friedman,0,[]
Charlotte Froese Fischer,8,computational theoretical physics
Ping Fu,0,[]
Xiaoming Fu,0,[]
Kunihiko Fukushima,1,neocognitron artificial neural networks convolutional neural network architecture unsupervised learning deep learning
D. R. Fulkerson,1,[]
Richard P. Gabriel,2,Maclisp Common Lisp Worse is Better League for Programming Freedom Lucid Inc. XEmacs
Zvi Galil,3,[]
Bernard Galler,0,MAD (programming language)
Hector Garcia-Molina,1,[]
Michael Garey,0,NP-completeness
Hugo de Garis,0,[]
Bill Gates,4,cofounder of Microsoft
David Gelernter,1,[]
Lisa Gelobter,0,was the Chief Digital Service Officer for the U.S. Department of Education founder of teQuitable
Charles Geschke,3,[]
Zoubin Ghahramani,1,[]
Sanjay Ghemawat,1,[]
Jeremy Gibbons,0,generic programming functional programming formal methods computational biology bioinformatics
Juan E. Gilbert,1,human-centered computing
Lee Giles,7,CiteSeer
Seymour Ginsburg,0,formal languages automata theory AFL theory database theory
Robert L. Glass,0,[]
Kurt Gödel,3,computability; not a computer scientist per se but his work was invaluable in the field
Ashok Goel,1,[]
Joseph Goguen,0,[]
Hardik Gohel,0,[]
E. Mark Gold,0,Language identification in the limit
Adele Goldberg,0,Smalltalk
Andrew V. Goldberg,1,algorithms algorithm engineering
Ian Goldberg,0,cryptographer off-the-record messaging
Judy Goldsmith,0,[]
Oded Goldreich,1,cryptography computational complexity theory
Shafi Goldwasser,11,cryptography computational complexity theory
Gene Golub,0,Matrix computation
Martin Charles Golumbic,0,algorithmic graph theory
Gastón Gonnet,0,cofounder of Waterloo Maple Inc.
Ian Goodfellow,0,machine learning
James Gosling,1,Network extensible Window System (NeWS) Java
Paul Graham,0,Viaweb On Lisp Arc
Robert M. Graham,0,programming language compilers (GAT Michigan Algorithm Decoder (MAD)) virtual memory architecture Multics
Susan L. Graham,5,compilers programming environments
Jim Gray,2,database
Sheila Greibach,0,Greibach normal form Abstract family of languages (AFL) theory
David Gries,4,The Science of Programming Interference freedom Member Emeritus IFIP WG 2.3 on Programming Methodology
Ralph Griswold,0,SNOBOL
Bill Gropp,2,Message Passing Interface Portable Extensible Toolkit for Scientific Computation (PETSc)
Tom Gruber,0,ontology engineering
Shelia Guberman,0,handwriting recognition
Ramanathan V. Guha,0,Resource Description Framework (RDF) Netscape RSS Epinions
Neil J. Gunther,0,computer performance analysis capacity planning
Jürg Gutknecht,0,with Niklaus Wirth: Lilith computer; Modula-2 Oberon Zonnon programming languages; Oberon operating system
Michael Guy,0,Phoenix work on number theory computer algebra higher dimension polyhedra theory; with John Horton Conway
Robert Griesemer,0,Go language
Nico Habermann,0,work on operating systems software engineering inter-process communication process synchronization deadlock avoidance software verification programming languages: ALGOL 60 BLISS Pascal Ada
Philipp Matthäus Hahn,0,mechanical calculator
Eldon C. Hall,0,Apollo Guidance Computer
Wendy Hall,1,[]
Joseph Halpern,3,[]
Margaret Hamilton,1,ultra-reliable software design
Richard Hamming,4,Hamming code founder of the Association for Computing Machinery
Jiawei Han,0,data mining
Frank Harary,0,graph theory
Juris Hartmanis,1,computational complexity theory
Johan Håstad,4,computational complexity theory
Les Hatton,1,software failure and vulnerabilities
Igor Hawryszkiewycz,0,American computer scientist and organizational theorist
He Jifeng,0,provably correct systems
Eric Hehner,0,predicative programming formal methods quote notation ALGOL
Martin Hellman,9,encryption
Gernot Heiser,6,operating system teaching research commercialising Open Kernel Labs OKL4 Wombat
James Hendler,0,Semantic Web
John L. Hennessy,9,computer architecture
Andrew Herbert,0,[]
Carl Hewitt,0,[]
Kelsey Hightower,0,open source cloud computing
Danny Hillis,2,Connection Machine
Geoffrey Hinton,9,[]
Julia Hirschberg,10,[]
Tin Kam Ho,0,artificial intelligence machine learning
C. A. R. Hoare,6,logic rigor communicating sequential processes (CSP)
Louis Hodes,0,Lisp pattern recognition logic programming cancer research
Betty Holberton,4,ENIAC programmer developed the first Sort Merge Generator
John Henry Holland,3,genetic algorithms
Herman Hollerith,3,invented recording of data on a machine readable medium using punched cards
Gerard Holzmann,1,software verification logic model checking (SPIN)
John Hopcroft,8,compilers
Grace Hopper,9,developed early compilers: FLOW-Matic COBOL; worked on UNIVAC; gave speeches on computer history where she gave out nano-seconds
Eric Horvitz,0,artificial intelligence
Alston Householder,0,[]
Paul Hudak,6,Haskell language design textbooks on it and computer music
David A. Huffman,1,Huffman coding used in data compression
John Hughes,0,structuring computations with arrows; QuickCheck randomized program testing framework; Haskell language design
Roger Hui,1,co-created J language
Watts Humphrey,1,Personal Software Process (PSP) Software quality Team Software Process (TSP)
Sandra Hutchins,0,[]
Jean Ichbiah,0,Ada
Roberto Ierusalimschy,0,Lua (programming language)
Dan Ingalls,2,Smalltalk BitBlt Lively Kernel
Mary Jane Irwin,3,[]
Kenneth E. Iverson,4,APL J
Ivar Jacobson,0,Unified Modeling Language Object Management Group
Anil K. Jain,10,[]
Ramesh Jain,0,[]
Jonathan James,0,[]
David S. Johnson,2,[]
Stephen C. Johnson,0,[]
Cliff Jones,0,Vienna Development Method (VDM)
Michael I. Jordan,5,[]
Mathai Joseph,1,[]
Aravind K. Joshi,0,[]
Bill Joy,4,Sun Microsystems BSD UNIX vi csh
Dan Jurafsky,2,natural language processing
William Kahan,4,numerical analysis
Robert E. Kahn,12,TCP/IP
Avinash Kak,0,digital image processing
Poul-Henning Kamp,0,invented GBDE FreeBSD Jails Varnish cache
David Karger,1,[]
Richard Karp,10,NP-completeness
Narendra Karmarkar,0,Karmarkar's algorithm
Marek Karpinski,0,NP optimization problems
Ted Kaehler,0,Smalltalk Squeak HyperCard
Alan Kay,3,Dynabook Smalltalk overlapping windows
Neeraj Kayal,0,AKS primality test
Manolis Kellis,3,computational biology
John George Kemeny,1,the language BASIC
Ken Kennedy,0,compiling for parallel and vector machines
Brian Kernighan,0,Unix the 'k' in AWK
Carl Kesselman,0,grid computing
Gregor Kiczales,0,CLOS reflection aspect-oriented programming
Peter T. Kirstein,3,Internet
Stephen Cole Kleene,2,Kleene closure recursion theory
Dan Klein,4,Natural language processing Machine translation
Leonard Kleinrock,5,ARPANET queueing theory packet switching hierarchical routing
Donald Knuth,13,The Art of Computer Programming MIX/MMIX TeX literate programming
Andrew Koenig,0,C++
Daphne Koller,5,Artificial intelligence bayesian network
Michael Kölling,3,BlueJ
Andrey Nikolaevich Kolmogorov,7,algorithmic complexity theory
Janet L. Kolodner,1,case-based reasoning
David Korn,0,KornShell
Kees Koster,0,ALGOL 68
Robert Kowalski,1,logic programming
John Koza,0,genetic programming
John Krogstie,0,SEQUAL framework
Joseph Kruskal,0,Kruskal's algorithm
Maarja Kruusmaa,0,underwater roboticist
Thomas E. Kurtz,2,BASIC programming language; Dartmouth College computer professor
Richard E. Ladner,5,[]
Monica S. Lam,0,[]
Leslie Lamport,6,algorithms for distributed computing LaTeX
Butler Lampson,6,SDS 940 founding member Xerox PARC Xerox Alto Turing Award
Peter Landin,0,ISWIM J operator SECD machine off-side rule syntactic sugar ALGOL IFIP WG 2.1 member advanced lambda calculus to model programming languages (aided functional programming) denotational semantics
Tom Lane,0,Independent JPEG Group PostgreSQL Portable Network Graphics (PNG)
Börje Langefors,0,[]
Chris Lattner,2,creator of Swift (programming language) and LLVM compiler infrastructure
Steve Lawrence,0,[]
Edward D. Lazowska,0,[]
Joshua Lederberg,3,[]
Manny M Lehman,2,[]
Charles E. Leiserson,0,cache-oblivious algorithms provably good work-stealing coauthor of Introduction to Algorithms
Douglas Lenat,1,artificial intelligence Cyc
Yann LeCun,3,[]
Rasmus Lerdorf,0,PHP
Max Levchin,0,Gausebeck–Levchin test and PayPal
Leonid Levin,1,computational complexity theory
Kevin Leyton-Brown,1,artificial intelligence
J.C.R. Licklider,0,[]
David Liddle,0,[]
Jochen Liedtke,0,microkernel operating systems Eumel L3 L4
John Lions,0,Lions' Commentary on UNIX 6th Edition with Source Code (Lions Book)
Charles H. Lindsey,0,IFIP WG 2.1 member Revised Report on ALGOL 68
Richard J. Lipton,1,computational complexity theory
Barbara Liskov,3,programming languages
Yanhong Annie Liu,0,programming languages algorithms program design program optimization software systems optimizing analysis and transformations intelligent systems distributed computing computer security IFIP WG 2.1 member
Darrell Long,2,computer data storage computer security
Patricia D. Lopez,1,broadening participation in computing
Gillian Lovegrove,0,[]
Ada Lovelace,0,first programmer
David Luckham,0,Lisp Automated theorem proving Stanford Pascal Verifier Complex event processing Rational Software cofounder (Ada compiler)
Eugene Luks,0,[]
Nancy Lynch,7,[]
Nadia Magnenat Thalmann,2,computer graphics virtual actor
Tom Maibaum,1,[]
Simon Marlow,1,Haskell developer book author; co-developer: Glasgow Haskell Compiler Haxl remote data access library
Zohar Manna,4,fuzzy logic
James Martin,1,information engineering
Robert C. Martin,0,software craftsmanship
John Mashey,0,[]
Yuri Matiyasevich,3,solving Hilbert's tenth problem
Yukihiro Matsumoto,0,Ruby (programming language)
John Mauchly,3,designed ENIAC first general-purpose electronic digital computer as well as EDVAC BINAC and UNIVAC I the first commercial computer; worked with Jean Bartik on ENIAC and Grace Murray Hopper on UNIVAC
Ujjwal Maulik,0,[]
Derek McAuley,1,ubiquitous computing computer architecture networking
John McCarthy,6,Lisp (programming language) ALGOL IFIP WG 2.1 member artificial intelligence
Andrew McCallum,1,[]
Douglas McIlroy,0,macros pipes Unix philosophy
Chris McKinstry,0,artificial intelligence Mindpixel
Marshall Kirk McKusick,0,BSD Berkeley Fast File System
Lambert Meertens,2,ALGOL 68 IFIP WG 2.1 member ABC (programming language)
Kurt Mehlhorn,4,algorithms data structures LEDA
Dora Metcalf,0,entrepreneur engineer and mathematician
